avg_cer,avg_wer
0.6946194513320469,1.044094227992177
0.3783855160566363,0.8819866535802434
0.3164645013751891,0.7976810272852914
0.2754264290114425,0.7378038676870843
0.2492261799852935,0.6814299349193774
0.23010019692025016,0.6369968996042645
0.21180152816936632,0.6027078315210975
0.1966899205789359,0.5582729491989665
0.18318041475465877,0.5316992168922796
0.17695447269334577,0.51543340755471
0.1694718183220042,0.5012959623466021
0.1611151797523864,0.48295519608827686
0.1571347596665948,0.46782989173153755
0.1518851953831957,0.4568057432066603
0.14888422785490613,0.4486537858626852
0.1450612185286036,0.4403395850468552
0.14066975852155275,0.4279124496032092
0.13724827235357917,0.41965587227973533
0.1351679205859653,0.41384759556495915
0.1334441527481436,0.4084633190908601
